id_barrio_oficial,ciudad,distrito_oficial,barrio_oficial,barrio_turistico_objetivo
218076,Barcelona,Gràcia,El Camp d'en Grassot i Gràcia Nova,0
243077,Barcelona,Sant Martí,El Camp de l'Arpa del Clot,0
314078,Valencia,Ciutat Vella (Valencia),El Carme,1
219079,Barcelona,Horta-Guinardó,El Carmel,0
334080,Valencia,Poblats del Sud,El Castellar - L'Oliveral,1
148081,Madrid,Vicálvaro,El Cañaveral,0
243082,Barcelona,Sant Martí,El Clot,0
218083,Barcelona,Gràcia,El Coll,0
242084,Barcelona,Sant Andreu,El Congrés i els Indians,0
334085,Valencia,Poblats del Sud,El Forn d'Alcedo,1
224086,Barcelona,L'Eixample,El Fort Pienc,1
335087,Valencia,Poblats Marítims,El Grau,1
219088,Barcelona,Horta-Guinardó,El Guinardó,0
213089,Barcelona,Ciutat Vella,El Gòtic,1
314090,Valencia,Ciutat Vella (Valencia),El Mercat,1
334091,Valencia,Poblats del Sud,El Palmar,0
243092,Barcelona,Sant Martí,El Parc i la Llacuna del Poblenou,1
117093,Madrid,Fuencarral-El Pardo,El Pardo,0
334094,Valencia,Poblats del Sud,El Perellonet,0
314095,Valencia,Ciutat Vella (Valencia),El Pilar,1
325096,Valencia,L'Eixample (Valencia),El Pla del Remei,1
128097,Madrid,Moncloa-Aravaca,El Plantío,0
244098,Barcelona,Sants-Montjuïc,El Poble-sec,1
243099,Barcelona,Sant Martí,El Poblenou,1
245100,Barcelona,Sarrià-Sant Gervasi,El Putxet i el Farró,0
213101,Barcelona,Ciutat Vella,El Raval,1
334102,Valencia,Poblats del Sud,El Saler,0
230103,Barcelona,Nou Barris,El Turó de la Peira,0
110104,Madrid,Chamartín,El Viso,1
338105,Valencia,Rascanya,Els Orriols,0
109106,Madrid,Centro,Embajadores,1
337107,Valencia,Quatre Carreres,En Corts,0
149108,Madrid,Villa de Vallecas,Ensanche de Vallecas,0
136109,Madrid,Puente de Vallecas,Entrevías,0
139110,Madrid,Retiro,Estrella,1
325111,Valencia,L'Eixample (Valencia),Exposició,1
334112,Valencia,Poblats del Sud,Faitanar,0
129113,Madrid,Moratalaz,Fontarrón,0
337114,Valencia,Quatre Carreres,Fonteta de Sant Lluís,0
140115,Madrid,Salamanca,Fuente del Berro,1
117116,Madrid,Fuencarral-El Pardo,Fuentelarreina,0
111117,Madrid,Chamberí,Gaztambide,0
140118,Madrid,Salamanca,Goya,1
325119,Valencia,L'Eixample (Valencia),Gran Via,1
140120,Madrid,Salamanca,Guindalera,1
141121,Madrid,San Blas-Canillejas,Hellín,0
110122,Madrid,Chamartín,Hispanoamérica,0
129123,Madrid,Moratalaz,Horcajo,0
