base_datos,id_anuncio,precio_inmueble,precio_m2,tipo_inmueble,habitaciones,baños,metros_cuadrados,num_planta,id_barrio_oficial,dias_publicado,detalles_extra,segmento_precio,segmento_precio_m2,ciudad,barrio_oficial,precio_noche_estimado,ocupacion_media_estimada,nivel_precio,puntuacion_ROI365,ROI365_%,outlier_roi365
Idealista,110854140,399000.0,7980.0,Piso,1.0,,50.0,2.0,139110,,Ascensor | Interior,Entrada,Alto,Madrid,Estrella,137.7,0.1522,1-barrio+habitaciones,Baja rentabilidad,1.25,False
Idealista,111395651,324000.0,2918.9189189189187,Piso,4.0,,111.0,2.0,147199,,Ascensor | Exterior,Entrada,Entrada,Madrid,Orcasur,304.3,0.2708,3-ciudad+habitaciones,Media rentabilidad,6.03,False
Idealista,110718244,470000.0,6266.666666666667,Piso,3.0,,75.0,2.0,218278,,Ascensor | Interior,Entrada,Medio,Barcelona,Vila de Gràcia,164.3,0.3004,1-barrio+habitaciones,Baja rentabilidad,2.49,False
Idealista,108459630,550000.0,8870.967741935483,Piso,1.0,,62.0,2.0,112237,,Ascensor | Exterior,Medio,Alto,Madrid,San Juan Bautista,96.9,0.2708,3-ciudad+habitaciones,Baja rentabilidad,1.13,False
Idealista,108689377,189000.0,3857.142857142857,Piso,1.0,,49.0,2.0,213250,,Interior,Entrada,Entrada,Barcelona,"Sant Pere, Santa Caterina i la Ribera",132.5,0.2318,1-barrio+habitaciones,Baja rentabilidad,3.86,False
Idealista,108479975,1278000.0,10306.451612903224,Piso,3.0,,124.0,2.0,139126,,Ascensor | Interior,Alto,Lujo,Madrid,Ibiza,187.85,0.2309,1-barrio+habitaciones,Baja rentabilidad,0.81,False
Idealista,110529247,1139000.0,7118.75,Piso,3.0,,160.0,2.0,139129,,Garaje incluido | Ascensor | Exterior,Alto,Alto,Madrid,Jerónimos,225.25,0.2768,1-barrio+habitaciones,Baja rentabilidad,1.3,False
Idealista,111320959,275000.0,5851.063829787234,Piso,2.0,,47.0,2.0,244098,,Interior,Entrada,Medio,Barcelona,El Poble-sec,205.64,0.3245,1-barrio+habitaciones,Media rentabilidad,5.76,False
Idealista,111056797,749900.0,6146.7213114754095,Piso,2.0,,122.0,2.0,109265,,Exterior,Medio,Medio,Madrid,Universidad,148.75,0.286,1-barrio+habitaciones,Baja rentabilidad,1.35,False
Idealista,110898059,319000.0,3709.302325581396,Piso,4.0,,86.0,2.0,147282,,Exterior,Entrada,Entrada,Madrid,Zofío,304.3,0.2708,3-ciudad+habitaciones,Media rentabilidad,6.13,False
Idealista,111294609,375000.0,6048.387096774193,Ático,1.0,,62.0,2.0,218083,,Ascensor | Exterior,Entrada,Medio,Barcelona,El Coll,159.0,0.2842,3-ciudad+habitaciones,Baja rentabilidad,2.86,False
Idealista,111095433,460000.0,7666.666666666667,Piso,1.0,,60.0,2.0,316019,,Ascensor,Entrada,Alto,Valencia,Arrancapins,94.35,0.2392,1-barrio+habitaciones,Baja rentabilidad,1.16,False
Idealista,110130586,209000.0,4750.0,Piso,1.0,,44.0,2.0,335087,,Ascensor | Exterior,Entrada,Medio,Valencia,El Grau,93.5,0.1674,1-barrio+habitaciones,Baja rentabilidad,1.78,False
Idealista,110941124,497500.0,7316.176470588235,Piso,2.0,,68.0,2.0,109256,,Interior,Entrada,Alto,Madrid,Sol,151.3,0.3349,1-barrio+habitaciones,Baja rentabilidad,2.42,False
Idealista,107652947,155000.0,4189.189189189189,Piso,1.0,,37.0,2.0,213250,,Interior,Entrada,Entrada,Barcelona,"Sant Pere, Santa Caterina i la Ribera",132.5,0.2318,1-barrio+habitaciones,Baja rentabilidad,4.7,False
Idealista,110352622,427000.0,6777.777777777777,Piso,1.0,,63.0,2.0,120268,,Garaje incluido | Ascensor | Exterior,Entrada,Medio,Madrid,Valdefuentes,96.9,0.2708,3-ciudad+habitaciones,Baja rentabilidad,1.46,False
