escenario,base_datos,id_anuncio,ciudad,barrio_oficial,id_barrio_oficial,tipo_inmueble,habitaciones,metros_cuadrados,num_planta,precio_inmueble,precio_noche_estimado,ocupacion_media_estimada,nivel_precio,ROI365_%,puntuacion_ROI365
E3_sin_barcelona,Idealista,111360186,Madrid,Palos de la Frontera,102205,Piso,3.0,60.0,1.0,380000.0,159.8,0.3429,1-barrio+habitaciones,3.42,Baja rentabilidad
E3_sin_barcelona,Fotocasa,189574865,Madrid,Universidad,109265,Piso,2.0,45.0,,295000.0,148.75,0.286,1-barrio+habitaciones,3.42,Baja rentabilidad
E3_sin_barcelona,Idealista,110706184,Madrid,Canillas,120040,Piso,3.0,72.0,4.0,269000.0,155.55,0.2493,1-barrio+habitaciones,3.42,Baja rentabilidad
E3_sin_barcelona,Idealista,109772825,Madrid,Universidad,109265,Piso,2.0,40.0,0.0,295000.0,148.75,0.286,1-barrio+habitaciones,3.42,Baja rentabilidad
E3_sin_barcelona,Fotocasa,188056906,Madrid,Universidad,109265,Planta Baja,2.0,40.0,,295000.0,148.75,0.286,1-barrio+habitaciones,3.42,Baja rentabilidad
E3_sin_barcelona,Idealista,111402684,Madrid,Palos de la Frontera,102205,Piso,2.0,38.0,0.0,290000.0,121.55,0.3429,1-barrio+habitaciones,3.41,Baja rentabilidad
E3_sin_barcelona,Fotocasa,189475231,Madrid,Comillas,108061,Piso,3.0,111.0,1.0,349000.0,153.0,0.3283,1-barrio+habitaciones,3.41,Baja rentabilidad
E3_sin_barcelona,Idealista,110604921,Madrid,Sol,109256,Piso,3.0,100.0,1.0,570000.0,243.52499999999998,0.3349,1-barrio+habitaciones,3.39,Baja rentabilidad
E3_sin_barcelona,Fotocasa,188744293,Madrid,Embajadores,109106,Piso,3.0,75.0,,390000.0,181.9,0.3064,1-barrio+habitaciones,3.39,Baja rentabilidad
E3_sin_barcelona,Idealista,104233820,Madrid,Universidad,109265,Piso,4.0,96.0,3.0,775000.0,386.325,0.286,1-barrio+habitaciones,3.38,Baja rentabilidad
E3_sin_barcelona,Idealista,96815685,Madrid,Cortes,109064,Piso,3.0,121.0,2.0,510000.0,214.2,0.3395,1-barrio+habitaciones,3.38,Baja rentabilidad
E3_sin_barcelona,Fotocasa,189297999,Madrid,Comillas,108061,Piso,3.0,77.0,2.0,353000.0,153.0,0.3283,1-barrio+habitaciones,3.38,Baja rentabilidad
E3_sin_barcelona,Idealista,109164908,Madrid,Universidad,109265,Piso,2.0,82.0,-1.0,299000.0,148.75,0.286,1-barrio+habitaciones,3.38,Baja rentabilidad
E3_sin_barcelona,Idealista,27177892,Madrid,Acacias,102002,Estudio,1.0,35.0,3.0,190000.0,84.15,0.3209,1-barrio+habitaciones,3.37,Baja rentabilidad
E3_sin_barcelona,Idealista,107001516,Madrid,Acacias,102002,Piso,2.0,51.0,-2.0,221000.0,97.75,0.3209,1-barrio+habitaciones,3.37,Baja rentabilidad
E3_sin_barcelona,Fotocasa,189228396,Madrid,Embajadores,109106,Ático,1.0,35.0,,189000.0,87.55,0.3064,1-barrio+habitaciones,3.37,Baja rentabilidad
E3_sin_barcelona,Idealista,110526659,Madrid,Embajadores,109106,Piso,1.0,35.0,2.0,189000.0,87.55,0.3064,1-barrio+habitaciones,3.37,Baja rentabilidad
E3_sin_barcelona,Idealista,111043847,Madrid,Sol,109256,Piso,1.0,57.0,5.0,265000.0,112.2,0.3349,1-barrio+habitaciones,3.36,Baja rentabilidad
E3_sin_barcelona,Idealista,110946155,Madrid,Universidad,109265,Piso,2.0,46.0,3.0,300000.0,148.75,0.286,1-barrio+habitaciones,3.36,Baja rentabilidad
E3_sin_barcelona,Fotocasa,188966360,Madrid,Canillas,120040,Piso,3.0,64.0,4.0,275000.0,155.55,0.2493,1-barrio+habitaciones,3.35,Baja rentabilidad
